LoanId,AmountDisbursed,Interest,LoanBalance,BorrowDate,Loantype,Product,Branch,ClearDate,CustomerId,default,current_balance,Gender,LoanLimit,CreditScore,Status,Date Created,repayment_txn_count,repayment_total_paid,loan_first_repayment,loan_last_repayment,missed_instalments
596104,12000,6500,0,8/9/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/17/2023,708,0,,,,,,,,,,,10
596146,13000,7000,0,8/9/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/17/2023,948,0,,,,,,,,,,,10
596269,9000,2500,0,8/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/13/2023,354,0,,,,,,,,,,,5
596275,10000,2750,10700,8/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/13/2023,1016,1,,,,,,,,,,,5
596380,5000,1500,0,9/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/14/2023,1026,0,,,,,,,,,,,5
596471,5000,2100,0,9/9/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,10/28/2023,745,0,,,,,,,,,,,7
596473,5000,1500,0,9/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/14/2023,583,0,,,,,,,,,,,5
596568,7000,2800,0,10/9/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,10/29/2023,530,0,,,,,,,,,,,7
596588,8000,2250,0,11/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/16/2023,1018,0,,,,,,,,,,,5
596620,15000,5600,0,11/9/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,10/30/2023,665,0,,,,,,,,,,,7
596682,7000,2000,0,11/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/16/2023,998,0,,,,,,,,,,,5
596740,7000,2000,0,11/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/16/2023,997,0,,,,,,,,,,,5
596934,13000,3500,0,11/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/16/2023,968,0,,,,,,,,,,,5
596989,13000,3500,0,11/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/16/2023,546,0,,,,,,,,,,,5
597020,10000,2750,0,11/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/16/2023,797,0,,,,,,,,,,,5
597128,10000,2750,0,11/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/16/2023,891,0,,,,,,,,,,,5
597168,18000,6650,0,11/9/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,10/30/2023,689,0,,,,,,,,,,,7
597195,15000,5600,0,12/9/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,10/31/2023,897,0,,,,,,,,,,,7
597365,9000,2500,0,12/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/17/2023,980,0,,,,,,,,,,,5
597383,10000,2750,0,12/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/17/2023,155,0,,,,,,,,,,,5
597386,7000,2000,0,12/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/17/2023,1014,0,,,,,,,,,,,5
597438,5000,1500,0,12/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/17/2023,1027,0,,,,,,,,,,,5
597585,12000,6500,0,12/9/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/21/2023,838,0,,,,,,,,,,,10
597723,5000,1500,0,12/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/17/2023,132,0,,,,,,,,,,,5
